buyer_id,room_id
450afdfda068aa0,630
d63d13cf5c8f252,205
d39fb998724eb94,78
30e5567877c6263,47
7ba7ac85ee8ba1c,45
f401cfddff767f7,37
95c37810b5309ce,33
d7a1278f09be5e8,31
fea7a8dbfcd51e5,26
5fb3d17954838b2,26
42c7d838c91dd9e,26
fe42721de77106c,20
a50e56668bc91c8,20
dca1971e3be2f7c,15
72d441ca0c574f5,14
e3694f57063826a,14
46f4708d23666fd,13
f575399b53a20a0,12
28b562ecacd0089,11
22218b895be665b,11
3a18c414b784056,11
c588767a9a0782c,11
6a0bdbc99dd62f5,10
dc2abf87bc904b0,10
b0c1e266a80cce0,10
ffbe7a01a899180,10
f3581f8b7ec8481,10
99327630ced45c6,9
12de6eca4a6734f,8
b5afb808886996f,8
b20688098ef5a78,8
a5e49f5e6d8cdd1,8
132e50f118c9553,8
90ad395b9b1ed7b,8
06e03558820317c,7
8af8c85bb1e8488,7
ace49af8efbdb51,7
bfefc608cf0620e,6
f1a528ab8ab54ca,6
5ce591d4a25b762,6
447278ea4922c10,6
645a79bf346a08d,6
86a5ffefa180731,6
228fe83dd07ab82,5
b74d02990e885b0,5
d6f12e62319b6de,5
6d6986b1089b14c,5
94ffebdc58cc8fa,5
146dd7a27094b5d,5
27889fef0f78813,4
