,month,Dvinarė kaina,Eksploatacija,K.v. skaitiklio aptarnavimas,Karštas vanduo,Kita,Renovacijos administravimas,Šiluma,Šilumos punkto remontas
0,2019-01-01,80.08,1019039.305,40182.55,70298.158,199.0,18808.53,68854981.166262,
1,2019-02-01,80.08,1018669.785,40191.26,69306.222,200.0,18657.15,51459526.628797,
2,2019-03-01,80.08,1018677.785,40191.16,67959.86,197.0,18615.94,50480441.380577,
3,2019-04-01,80.08,1018702.473,40197.0566,67942.865,193.0,18615.94,29559137.835358,
4,2019-05-01,80.08,1026889.5512,40207.389,69189.8482,132.0,18615.94,9980276.904713,
5,2019-06-01,80.08,1032034.085,40208.185,61651.2928,132.0,18615.94,7621166.885932,
6,2019-07-01,80.08,1033544.945,40208.785,61108.993,119.0,18615.94,8422907.7818,
7,2019-08-01,80.08,1036729.3311,40210.7227,60689.9234,124.0,18572.53,8060791.3347000005,
8,2019-09-01,80.08,1038721.5017,40208.12,64925.4508,137.0,19407.02,9449528.245342,
9,2019-10-01,91.53,1045229.315,40208.9158,66513.874,188.0,19407.02,30365872.419133,
10,2019-11-01,91.53,1046747.435,40206.393000000004,67137.6308,191.0,20695.26,45278500.297847,
11,2019-12-01,91.53,1046770.395,40206.393000000004,69512.0658,195.0,20590.59,53416544.542928,
12,2020-01-01,89.12,1046756.8576,40204.3836,71796.6204,192.0,20353.34,50450776.807987,
13,2020-02-01,89.12,1043880.1656,40205.9241,69800.9992,191.0,20187.38,48557019.992023,
14,2020-03-01,89.12,1045556.7524,40206.7227,67750.0754,192.0,20114.715,49006985.838301,
15,2020-04-01,89.12,1047372.885,40206.888,75912.1724,187.0,20089.865,34843772.302207,
16,2020-05-01,89.11999999999999,1047372.885,40209.3652,72676.5282,130.0,20089.865,10689611.055712,
17,2020-06-01,89.12,1047379.845,40210.5546,67763.5016,128.0,20089.865,8308296.233988,
18,2020-07-01,89.11999999999999,1047549.705,40212.868,64040.2544,124.0,20089.865,8505342.073913,
19,2020-08-01,89.12,1054316.1733,40214.2228,63375.7222,124.0,20048.185,8350971.894355,
20,2020-09-01,89.11999999999999,1059158.2728,40214.568,66687.3316,126.0,19967.145,8804727.489756,
21,2020-10-01,89.12,1064722.3219,40216.6742,68536.6246,178.0,19926.605,22652777.910076,
22,2020-11-01,89.12,1067414.5244,40212.868,71593.477,182.0,19904.9,42863639.393529,
